# Chunk-averaged data for fix xi and group wall
# Timestep Number-of-chunks Total-count
# Chunk OrigID Ncount v_x
0 20 7800
  1 1 340 0
  2 2 390 2.03201
  3 3 390 4.06401
  4 4 390 6.09602
  5 5 390 8.12802
  6 6 440 10.16
  7 7 390 12.192
  8 8 390 14.224
  9 9 390 16.256
  10 10 390 18.288
  11 11 340 20.3201
  12 12 390 22.3521
  13 13 390 24.3841
  14 14 390 26.4161
  15 15 390 28.4481
  16 16 440 30.4801
  17 17 390 32.5121
  18 18 390 34.5441
  19 19 390 36.5761
  20 20 390 38.6081
